log2foldchange,FC,pvalue,padjust,gene_name
3.62678216257051,12.3529367767193,1.97E-13,3.45E-11,Spic
3.52355998413288,11.4999842814237,1.06E-05,0.000388003753699,Nxpe2
2.94995856725665,7.72726870886521,2.46E-06,0.000108168300915,Sla2
2.9228313788969,7.58332933544408,5.70E-06,0.000231504697589,Adora2a
2.85072875882425,7.21364666144241,3.11E-22,1.47E-19,Thbs1
2.78427031984394,6.88888416592128,8.55E-05,0.002303782854398,Itpka
2.72718442791793,6.62162095401518,1.23E-09,1.11E-07,Adgre4
2.63742902864537,6.22221837523225,0.000164473159465,0.003901685736944,Dclk3
2.55458769632637,5.8749952951346,0.00112300606829,0.019079244596316,Pla2g3
2.5443188737434,5.8333266921999,0.003664306471445,0.04824470279794,Aff3
2.52356054702932,5.7499943841872,0.003556981840611,0.047276083956605,2810047C21Rik1
2.49185177327698,5.62499484148224,0.003272530526785,0.044170925877048,Lrrc4
2.37196842466365,5.17646932264447,4.68E-05,0.001404716918264,Kif17
2.35363604309868,5.11110788183669,0.001948251596418,0.02921287971554,Bnipl
2.30875250234586,4.95454475467099,1.07E-05,0.000390331191168,Celf5
2.18586629652927,4.5499992153863,0.000160121668137,0.003805313912354,Tusc5
2.17932364032917,4.52941157911022,1.36E-06,6.46E-05,Spns3
2.16992431603695,4.49999786210993,0.002294439468523,0.033018995178049,Slc36a1os
2.1413555594659,4.41176381973564,0.000319538619957,0.006749770016744,Irgc1
2.12199023236555,4.35294029540043,0.000351548668634,0.007260675904562,Rasgrp1
2.12199018044494,4.3529401387441,0.000923175230863,0.016423667688973,A330009N23Rik
2.10980418014344,4.31632704263352,6.06E-09,4.80E-07,Rap1gap2
2.09953565349192,4.28571422612642,3.79E-07,2.04E-05,Lrrc73
2.09192248045911,4.26315786819528,2.54E-07,1.44E-05,Zbtb46
2.05062589818205,4.14285664064732,0.000230245406479,0.005145025478955,Osbpl6
2.0473053410685,4.13333226265161,0.001870237468225,0.028333569327936,Kcnh3
2.03952805962403,4.11111024322805,0.001618060068454,0.025532122647035,Aqp1
1.96347394586305,3.89999951851493,0.000678982788397,0.012599947038653,Tex15
1.94753221364346,3.85714187738094,0.003558414921465,0.047276083956605,Btla
1.88264280940301,3.68749938667002,0.002225621179554,0.032230440286092,Ucp3
1.80109591136394,3.48484843600203,0.000216965306216,0.004875355882284,1700003E16Rik
1.79441586759429,3.46875000299146,0.000195161571323,0.00449206655366,Ypel4
1.76899454210341,3.40816348676443,1.32E-07,8.10E-06,Gm21188
1.76251332424718,3.39288686433424,6.51E-24,3.61E-21,Vcan
1.74146699794214,3.34375002674869,0.000331692875478,0.0069396705768,Ptprf
1.73481089985596,3.32835864820091,0.000290314879061,0.006261228001621,Cmklr1
1.72246592039421,3.29999976193604,0.002933864959213,0.040482807314558,Xirp1
1.72128400293237,3.2972973681446,0.001000169748658,0.017415293383293,Gm37261
1.69149396316435,3.22990999493635,0.000675376189414,0.01254749135275,Gm9824
